airline,total_route_count,top10_share_pct,hhi,concentration_label,,
SA,202,5.0,0.005,Highly concentrated,,
MS,205,4.9,0.0049,Highly concentrated,,
WF,205,4.9,0.0049,Highly concentrated,,
SQ,210,4.8,0.0048,Highly concentrated,,
VN,209,4.8,0.0048,Highly concentrated,,
ZB,210,4.8,0.0048,Highly concentrated,,
CX,211,4.7,0.0047,Highly concentrated,,
JD,214,4.7,0.0047,Highly concentrated,,
A3,222,4.5,0.0045,Highly concentrated,,
EY,224,4.5,0.0045,Highly concentrated,,
F9,220,4.5,0.0045,Highly concentrated,,
AH,226,4.4,0.0044,Highly concentrated,,
EI,226,4.4,0.0044,Highly concentrated,,
TP,229,4.4,0.0044,Highly concentrated,,
X3,226,4.4,0.0044,Highly concentrated,,
HV,233,4.3,0.0043,Highly concentrated,,
NZ,233,4.3,0.0043,Highly concentrated,,
U6,232,4.3,0.0043,Highly concentrated,,
AT,238,4.2,0.0042,Moderately concentrated,,
JT,239,4.2,0.0042,Moderately concentrated,,
OS,240,4.2,0.0042,Moderately concentrated,,
PC,240,4.2,0.0042,Moderately concentrated,,
GA,246,4.1,0.0041,Moderately concentrated,,
NK,242,4.1,0.0041,Moderately concentrated,,
OZ,260,3.8,0.0038,Moderately concentrated,,
BE,268,3.7,0.0037,Moderately concentrated,,
9W,276,3.6,0.0036,Moderately concentrated,,
QR,274,3.6,0.0036,Moderately concentrated,,
S7,281,3.6,0.0036,Moderately concentrated,,
AV,286,3.5,0.0035,Moderately concentrated,,
EK,285,3.5,0.0035,Moderately concentrated,,
LA,283,3.5,0.0035,Moderately concentrated,,
VA,288,3.5,0.0035,Moderately concentrated,,
KE,292,3.4,0.0034,Moderately concentrated,,
LX,290,3.4,0.0034,Moderately concentrated,,
LS,302,3.3,0.0033,Moderately concentrated,,
SC,302,3.3,0.0033,Moderately concentrated,,
UN,300,3.3,0.0033,Moderately concentrated,,
AY,328,3.0,0.003,Moderately concentrated,,
DE,334,3.0,0.003,Moderately concentrated,,
ET,331,3.0,0.003,Moderately concentrated,,
G3,332,3.0,0.003,Moderately concentrated,,
JJ,332,3.0,0.003,Moderately concentrated,,
MH,330,3.0,0.003,Moderately concentrated,,
GS,344,2.9,0.0029,Distributed,,
WS,341,2.9,0.0029,Distributed,,
AI,365,2.7,0.0027,Distributed,,
SV,364,2.7,0.0027,Distributed,,
3U,380,2.6,0.0026,Distributed,,
G4,378,2.6,0.0026,Distributed,,
JL,386,2.6,0.0026,Distributed,,
MF,380,2.6,0.0026,Distributed,,
VY,384,2.6,0.0026,Distributed,,
AD,393,2.5,0.0025,Distributed,,
B6,399,2.5,0.0025,Distributed,,
AM,431,2.3,0.0023,Distributed,,
QF,430,2.3,0.0023,Distributed,,
W6,453,2.2,0.0022,Distributed,,
4U,470,2.1,0.0021,Distributed,,
SU,473,2.1,0.0021,Distributed,,
SK,504,2.0,0.002,Distributed,,
TO,488,2.0,0.002,Distributed,,
AS,530,1.9,0.0019,Distributed,,
BA,547,1.8,0.0018,Distributed,,
HU,550,1.8,0.0018,Distributed,,
NH,541,1.8,0.0018,Distributed,,
DY,576,1.7,0.0017,Distributed,,
TK,644,1.6,0.0016,Distributed,,
AC,705,1.4,0.0014,Distributed,,
FL,726,1.4,0.0014,Distributed,,
AB,798,1.3,0.0013,Distributed,,
ZH,783,1.3,0.0013,Distributed,,
IB,831,1.2,0.0012,Distributed,,
KL,828,1.2,0.0012,Distributed,,
AZ,877,1.1,0.0011,Distributed,,
LH,923,1.1,0.0011,Distributed,,
AF,1069,0.9,0.0009,Distributed,,
U2,1130,0.9,0.0009,Distributed,,
WN,1146,0.9,0.0009,Distributed,,
CA,1221,0.8,0.0008,Distributed,,
MU,1231,0.8,0.0008,Distributed,,
CZ,1422,0.7,0.0007,Distributed,,
DL,1981,0.5,0.0005,Distributed,,
UA,2178,0.5,0.0005,Distributed,,
US,1960,0.5,0.0005,Distributed,,
AA,2350,0.4,0.0004,Distributed,,
FR,2484,0.4,0.0004,Distributed,,
