airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,mean_route_distance_km,median_route_distance_km,p90_route_distance_km,valid_distance_route_presences,invalid_or_missing_distance_route_presences,domestic_route_presence_share,international_route_presence_share,distinct_country_count,origin_country_count,destination_country_count
id:4951,4951,TK,Turkish Airlines,Turkey,Y,True,True,True,True,2327.80310305315,1741.88931226234,4834.63778478596,534,0,0.159176029962547,0.840823970037453,104,104,103
id:137,137,AF,Air France,France,Y,True,True,True,True,3097.72864392283,1277.92074940036,8756.31386089601,450,0,0.188888888888889,0.811111111111111,91,91,90
id:1355,1355,BA,British Airways,United Kingdom,Y,True,True,True,True,3566.65053429072,1989.56267954268,8462.89690140215,370,0,0.0513513513513514,0.948648648648649,82,82,82
id:2183,2183,EK,Emirates,United Arab Emirates,Y,True,True,True,True,4909.3201014105,4783.89398358026,11001.5297120982,269,0,0,1,74,74,74
id:3320,3320,LH,Lufthansa,Germany,Y,True,True,True,True,2985.46704192178,1406.9130797673,8499.60994945191,507,0,0.0946745562130177,0.905325443786982,73,72,72
id:4091,4091,QR,Qatar Airways,Qatar,Y,True,True,True,True,3710.90334621932,3265.45782803642,7209.028849574,251,0,0.0199203187250996,0.9800796812749,71,71,70
id:24,24,AA,American Airlines,United States,Y,True,True,True,True,2642.22195090159,1861.85200302288,6464.08431486532,1265,0,0.584189723320158,0.415810276679842,64,64,64
id:3090,3090,KL,KLM Royal Dutch Airlines,Netherlands,Y,True,True,True,True,4518.87108036197,4704.77304482218,9317.20256992833,210,0,0.0142857142857143,0.985714285714286,64,63,64
id:2220,2220,ET,Ethiopian Airlines,Ethiopia,Y,True,True,True,True,2534.0525217652,1549.99578619511,6033.04934479461,216,0,0.185185185185185,0.814814814814815,61,61,60
id:5209,5209,UA,United Airlines,United States,Y,True,True,True,True,3366.02506401101,2567.64896630425,7269.5630468349,905,0,0.514917127071823,0.485082872928177,61,61,61
id:596,596,AZ,Alitalia,Italy,Y,True,True,True,True,2018.64530134019,1039.45396537613,6092.35698081838,327,0,0.262996941896024,0.737003058103975,60,58,59
id:2009,2009,DL,Delta Air Lines,United States,Y,True,True,True,True,2629.81919811815,1802.62181743105,6684.8992561756,1146,0,0.643106457242583,0.356893542757417,60,60,60
id:5265,5265,US,US Airways,United States,Y,True,True,True,True,2404.84840925949,1600.67231304149,6184.4596229507,1446,0,0.647994467496542,0.352005532503458,59,59,59
id:130,130,SU,Aeroflot Russian Airlines,Russia,Y,True,True,True,True,2540.85756547302,2061.9773010252,4977.15928877178,448,0,0.352678571428571,0.647321428571429,56,56,56
id:2222,2222,EY,Etihad Airways,United Arab Emirates,Y,True,True,True,True,4101.61332950193,3288.07856135869,6940.1504702075,174,0,0.0114942528735632,0.988505747126437,55,55,55
id:2143,2143,MS,Egyptair,Egypt,Y,True,True,True,True,2368.73571968956,1843.67494583983,4120.48189635126,195,0,0.128205128205128,0.871794871794872,52,52,52
id:4248,4248,AT,Royal Air Maroc,Morocco,Y,True,True,True,True,1989.51595665316,1881.24759909687,3811.80655709057,234,0,0.106837606837607,0.893162393162393,47,47,47
id:330,330,AC,Air Canada,Canada,Y,True,True,True,True,3692.00749646542,2993.09229849923,7578.59475337638,321,0,0.224299065420561,0.775700934579439,43,42,41
id:3163,3163,KE,Korean Air,Republic of Korea,Y,True,True,True,True,3485.14110663274,1639.79109197915,9001.47947647077,278,0,0.143884892086331,0.856115107913669,43,42,43
id:3126,3126,KQ,Kenya Airways,Kenya,Y,True,True,True,True,2197.70121075544,1587.82181302006,5186.42275430266,125,0,0.08,0.92,40,40,40
id:4940,4940,TG,Thai Airways International,Thailand,Y,True,True,True,True,3817.50160127432,2491.50406902219,8999.48028642175,162,0,0.135802469135802,0.864197530864198,40,40,40
