airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,top1_origin_share,top3_origin_share,origin_airport_hhi,effective_hubs,distinct_origin_airports
code:9D,,9D,,,,False,False,False,False,1,1,1,1,1
id:2260,2260,EW,Eurowings,Germany,Y,False,False,False,False,1,1,1,1,1
id:241,241,S2,Air Sahara,India,Y,False,False,False,False,1,1,1,1,1
id:146,146,2O,Air Salone,Sierra Leone,Y,False,False,False,False,0.5,1,0.5,2,2
id:16262,16262,3F,Fly Colombia ( Interliging Flights ),Colombia,Y,False,False,False,False,0.5,1,0.5,2,2
id:20565,20565,4B,Boutique Air (Priv),United States,Y,False,False,False,False,0.5,1,0.5,2,2
id:442,442,4D,Air Sinai,Egypt,Y,False,False,False,False,0.5,1,0.5,2,2
id:29,29,4K,Askari Aviation,Pakistan,Y,False,False,False,False,0.5,1,0.5,2,2
id:4496,4496,5G,Skyservice Airlines,Canada,Y,False,False,False,False,0.5,1,0.5,2,2
id:4436,4436,5M,Sibaviatrans,Russia,Y,False,False,False,False,0.5,1,0.5,2,2
id:18946,18946,5Z,VivaColombia,Colombia,Y,False,False,False,False,0.5,1,0.5,2,2
id:17095,17095,6I,Fly 6ix,Sierra Leone,Y,False,False,False,False,0.5,1,0.5,2,2
id:11814,11814,6Y,SmartLynx Airlines,Latvia,Y,False,False,False,False,0.5,1,0.5,2,2
id:563,563,7E,Aeroline GmbH,Germany,Y,False,False,False,False,0.5,1,0.5,2,2
id:1109,1109,8D,Astair,Russian Federation,Y,False,False,False,False,0.5,1,0.5,2,2
id:1392,1392,A8,Benin Golf Air,Benin,N,False,False,False,False,0.5,1,0.5,2,2
id:2881,2881,D6,Interair South Africa,South Africa,Y,False,False,False,False,0.5,1,0.5,2,2
id:9620,9620,GY,Gabon Airlines,Gabon,Y,False,False,False,False,0.5,1,0.5,2,2
id:2094,2094,H7,Eagle Air,Uganda,Y,False,False,False,False,0.5,1,0.5,2,2
id:319,319,HM,Air Seychelles,Seychelles,Y,False,False,False,False,0.5,1,0.5,2,2
id:1769,1769,HR,China United Airlines,China,Y,False,False,False,False,0.5,1,0.5,2,2
id:19944,19944,I4,International AirLink,Jamaica,Y,False,False,False,False,0.5,1,0.5,2,2
id:116,116,I9,Air Italy,Italy,Y,False,False,False,False,0.5,1,0.5,2,2
id:2731,2731,JB,Helijet,Canada,Y,False,False,False,False,0.5,1,0.5,2,2
id:109,109,KO,Alaska Central Express,United States,Y,False,False,False,False,0.5,1,0.5,2,2
