airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,directed_route_presences,distinct_origin_airports,distinct_destination_airports,distinct_airports,distinct_countries,domestic_route_presence_share,international_route_presence_share,reciprocal_route_share,codeshare_route_presence_share
id:4296,4296,FR,Ryanair,Ireland,Y,True,True,True,True,2484,176,176,176,29,0.108695652173913,0.891304347826087,1,0
id:5265,5265,US,US Airways,United States,Y,True,True,True,True,1446,268,275,280,59,0.647994467496542,0.352005532503458,0.957123098201936,0.262244897959184
id:24,24,AA,American Airlines,United States,Y,True,True,True,True,1265,251,256,259,64,0.584189723320158,0.415810276679842,0.967588932806324,0.462159863945578
id:1767,1767,CZ,China Southern Airlines,China,Y,True,True,True,True,1232,183,184,184,39,0.790584415584416,0.209415584415584,0.998376623376623,0.147994467496542
id:2009,2009,DL,Delta Air Lines,United States,Y,True,True,True,True,1146,226,229,230,60,0.643106457242583,0.356893542757417,0.951134380453752,0.421504290762241
id:2297,2297,U2,easyJet,United Kingdom,Y,True,True,True,True,1130,128,128,128,35,0.12212389380531,0.87787610619469,1,0
id:4547,4547,WN,Southwest Airlines,United States,Y,True,True,True,True,1098,88,89,89,2,0.990892531876138,0.00910746812386154,0.996357012750455,0.0418848167539267
id:1758,1758,MU,China Eastern Airlines,China,Y,True,True,True,True,1042,189,189,189,33,0.744721689059501,0.255278310940499,0.998080614203455,0.167066346922462
id:5209,5209,UA,United Airlines,United States,Y,True,True,True,True,905,183,181,184,61,0.514917127071823,0.485082872928177,0.983425414364641,0.584481175390266
id:751,751,CA,Air China,China,Y,True,True,True,True,778,166,166,166,38,0.688946015424165,0.311053984575835,1,0.37459807073955
id:214,214,AB,Air Berlin,Germany,Y,True,True,True,True,682,116,117,117,35,0.095307917888563,0.904692082111437,0.98533724340176,0.145363408521303
id:3737,3737,DY,Norwegian Air Shuttle,Norway,Y,True,True,True,True,552,97,97,97,34,0.108695652173913,0.891304347826087,1,0.0416666666666667
id:4951,4951,TK,Turkish Airlines,Turkey,Y,True,True,True,True,534,239,238,239,104,0.159176029962547,0.840823970037453,0.951310861423221,0.178461538461538
id:2660,2660,HU,Hainan Airlines,China,Y,True,True,True,True,523,100,99,102,22,0.835564053537285,0.164435946462715,0.986615678776291,0.054249547920434
id:3320,3320,LH,Lufthansa,Germany,Y,True,True,True,True,507,169,169,170,73,0.0946745562130177,0.905325443786982,0.998027613412229,0.450704225352113
id:8745,8745,TO,Transavia France,France,Y,True,True,True,True,488,80,83,83,21,0.00614754098360656,0.993852459016393,0.942622950819672,0
id:2548,2548,4U,Germanwings,Germany,Y,True,True,True,True,470,104,104,104,26,0.114893617021277,0.885106382978723,1,0
id:5461,5461,W6,Wizz Air,Hungary,Y,True,True,True,True,453,80,80,80,33,0,1,0.997792494481236,0
id:137,137,AF,Air France,France,Y,True,True,True,True,450,170,170,171,91,0.188888888888889,0.811111111111111,0.964444444444444,0.579045837231057
id:130,130,SU,Aeroflot Russian Airlines,Russia,Y,True,True,True,True,448,148,148,148,56,0.352678571428571,0.647321428571429,1,0.0528541226215645
id:4319,4319,SK,Scandinavian Airlines System,Sweden,Y,True,True,True,True,405,104,104,104,31,0.195061728395062,0.804938271604938,0.987654320987654,0.196428571428571
id:3029,3029,B6,JetBlue Airways,United States,Y,True,True,True,True,399,86,86,86,22,0.596491228070175,0.403508771929825,0.99749373433584,0
id:4611,4611,ZH,Shenzhen Airlines,China,Y,True,True,True,True,397,67,67,67,8,0.944584382871537,0.0554156171284634,0.997481108312343,0.501882057716437
id:13983,13983,AD,Azul,Brazil,Y,True,True,True,True,391,101,101,101,1,1,0,0.976982097186701,0.00508905852417303
id:4608,4608,3U,Sichuan Airlines,China,Y,True,True,True,True,388,84,84,84,9,0.922680412371134,0.0773195876288659,1,0
id:5484,5484,MF,Xiamen Airlines,China,Y,True,True,True,True,386,63,63,63,9,0.854922279792746,0.145077720207254,1,0
id:2439,2439,VY,Formosa Airlines,Taiwan,Y,True,True,True,True,384,100,100,100,28,0.276041666666667,0.723958333333333,1,0
id:35,35,G4,Allegiant Air,United States,Y,True,True,True,True,378,94,95,95,1,1,0,0.994708994708995,0
id:1355,1355,BA,British Airways,United Kingdom,Y,True,True,True,True,370,174,174,174,82,0.0513513513513514,0.948648648648649,0.994594594594595,0.323583180987203
id:4533,4533,SV,Saudi Arabian Airlines,Saudi Arabia,Y,True,True,True,True,366,88,89,89,37,0.316939890710383,0.683060109289617,0.907103825136612,0.0213903743315508
id:690,690,GS,Air Foyle,United Kingdom,Y,True,True,True,True,358,92,92,92,3,0.972067039106145,0.0279329608938548,1,0
id:1790,1790,G3,City Connexion Airlines,Burundi,Y,True,True,True,True,332,68,68,68,10,0.86144578313253,0.13855421686747,1,0
id:596,596,AZ,Alitalia,Italy,Y,True,True,True,True,327,117,119,121,60,0.262996941896024,0.737003058103975,0.960244648318043,0.627137970353478
id:330,330,AC,Air Canada,Canada,Y,True,True,True,True,321,102,102,104,43,0.224299065420561,0.775700934579439,0.953271028037383,0.54468085106383
id:1868,1868,DE,Condor Flugdienst,Germany,Y,True,True,True,True,311,59,60,60,29,0.00643086816720257,0.993569131832797,0.938906752411576,0.0688622754491018
id:4599,4599,SC,Shandong Airlines,China,Y,True,True,True,True,310,59,59,59,5,0.916129032258065,0.0838709677419355,1,0.0127388535031847
id:218,218,AI,Air India Limited,India,Y,True,True,True,True,306,89,89,89,23,0.663398692810457,0.336601307189543,0.954248366013072,0.166212534059946
id:4867,4867,JJ,TAM Brazilian Airlines,Brazil,Y,True,True,True,True,305,63,64,64,17,0.783606557377049,0.216393442622951,0.99672131147541,0.0813253012048193
id:5416,5416,WS,WestJet,Canada,Y,True,True,True,True,305,76,76,76,18,0.498360655737705,0.501639344262295,0.99672131147541,0.105571847507331
id:3026,3026,LS,Jet2.com,United Kingdom,Y,True,True,True,True,302,46,46,46,16,0,1,1,0
id:324,324,NH,All Nippon Airways,Japan,Y,True,True,True,True,297,83,82,83,17,0.609427609427609,0.390572390572391,0.996632996632997,0.451016635859519
id:5067,5067,UN,Transaero Airlines,Russia,Y,True,True,True,True,282,100,101,101,36,0.283687943262411,0.716312056737589,0.978723404255319,0.06
id:3163,3163,KE,Korean Air,Republic of Korea,Y,True,True,True,True,278,111,112,112,43,0.143884892086331,0.856115107913669,0.971223021582734,0.0479452054794521
id:2183,2183,EK,Emirates,United Arab Emirates,Y,True,True,True,True,269,126,126,126,74,0,1,0.988847583643123,0.0627177700348432
id:4091,4091,QR,Qatar Airways,Qatar,Y,True,True,True,True,251,127,126,127,71,0.0199203187250996,0.9800796812749,0.98804780876494,0.0905797101449275
id:515,515,AV,Avianca - Aerovias Nacionales de Colombia,AVIANCA,Y,True,True,True,True,243,69,68,69,25,0.263374485596708,0.736625514403292,0.995884773662551,0.15034965034965
id:4687,4687,NK,Spirit Airlines,United States,Y,True,True,True,True,242,54,54,54,18,0.752066115702479,0.247933884297521,1,0
id:3926,3926,PC,Pegasus Airlines,Turkey,Y,True,True,True,True,242,82,82,82,32,0.380165289256198,0.619834710743802,0.991735537190083,0
id:3871,3871,PK,Pakistan International Airlines,Pakistan,Y,True,True,True,True,242,53,53,53,23,0.330578512396694,0.669421487603306,0.942148760330578,0
id:4329,4329,S7,S7 Airlines,Russia,Y,True,True,True,True,242,89,91,91,26,0.396694214876033,0.603305785123967,0.983471074380165,0.138790035587189
id:439,439,AS,Alaska Airlines,ALASKA,Y,True,True,True,True,238,68,68,68,3,0.882352941176471,0.117647058823529,0.991596638655462,0.550943396226415
id:4248,4248,AT,Royal Air Maroc,Morocco,Y,True,True,True,True,234,82,81,82,47,0.106837606837607,0.893162393162393,0.923076923076923,0.0168067226890756
id:5039,5039,HV,Transavia Holland,Netherlands,Y,True,True,True,True,233,80,80,80,20,0.0815450643776824,0.918454935622318,0.8068669527897,0
id:5234,5234,U6,Ural Airlines,Russia,Y,True,True,True,True,232,60,60,60,18,0.245689655172414,0.754310344827586,0.974137931034483,0
id:28,28,OZ,Asiana Airlines,Republic of Korea,Y,True,True,True,True,227,97,96,97,31,0.118942731277533,0.881057268722467,0.995594713656388,0.126923076923077
id:794,794,AH,Air Algerie,Algeria,Y,True,True,True,True,226,63,63,63,26,0.36283185840708,0.63716814159292,0.973451327433628,0
id:2681,2681,X3,TUIfly,Germany,Y,True,True,True,True,226,31,31,31,8,0.0265486725663717,0.973451327433628,0.911504424778761,0
id:2520,2520,GA,Garuda Indonesia,Indonesia,Y,True,True,True,True,224,66,66,66,14,0.669642857142857,0.330357142857143,1,0.0967741935483871
id:2220,2220,ET,Ethiopian Airlines,Ethiopia,Y,True,True,True,True,216,94,93,94,61,0.185185185185185,0.814814814814815,0.888888888888889,0.347432024169184
id:6557,6557,JD,Japan Air System,Japan,Y,True,True,True,True,214,49,49,49,1,1,0,1,0
id:96,96,A3,Aegean Airlines,Greece,Y,True,True,True,True,213,74,74,75,26,0.394366197183099,0.605633802816901,0.995305164319249,0.0405405405405405
id:2421,2421,BE,Flybe,United Kingdom,Y,True,True,True,True,213,60,59,60,15,0.370892018779343,0.629107981220657,0.995305164319249,0.205223880597015
id:3090,3090,KL,KLM Royal Dutch Airlines,Netherlands,Y,True,True,True,True,210,107,108,108,64,0.0142857142857143,0.985714285714286,0.914285714285714,0.746987951807229
id:220,220,ZB,Air Bourbon,Reunion,Y,True,True,True,True,210,37,37,37,14,0,1,1,0
id:5439,5439,WF,Widerøe,Norway,Y,True,True,True,True,205,47,47,47,4,0.921951219512195,0.0780487804878048,0.926829268292683,0
id:1680,1680,CX,Cathay Pacific,Hong Kong SAR of China,Y,True,True,True,True,203,94,94,94,35,0.00985221674876847,0.990147783251232,0.985221674876847,0.037914691943128
id:2850,2850,6E,IndiGo Airlines,India,Y,True,True,True,True,199,35,35,35,6,0.899497487437186,0.100502512562814,0.974874371859296,0
id:5325,5325,Y4,Volaris,Mexico,Y,True,True,True,True,197,47,47,47,2,0.756345177664975,0.243654822335025,0.99492385786802,0
id:2143,2143,MS,Egyptair,Egypt,Y,True,True,True,True,195,80,79,80,52,0.128205128205128,0.871794871794872,0.994871794871795,0.0487804878048781
id:2468,2468,F9,Frontier Airlines,United States,Y,True,True,True,True,192,70,70,70,5,0.78125,0.21875,1,0.127272727272727
id:5309,5309,VN,Vietnam Airlines,Vietnam,Y,True,True,True,True,192,50,50,50,18,0.354166666666667,0.645833333333333,1,0.0813397129186603
id:3378,3378,MH,Malaysia Airlines,Malaysia,Y,True,True,True,True,188,77,77,79,35,0.25,0.75,0.957446808510638,0.43030303030303
id:2987,2987,JL,Japan Airlines,Japan,Y,True,True,True,True,186,72,72,72,23,0.408602150537634,0.591397849462366,1,0.518134715025907
id:1683,1683,5J,Cebu Pacific,Philippines,Y,True,True,True,True,184,56,56,56,15,0.630434782608696,0.369565217391304,1,0
id:2922,2922,IR,Iran Air,Iran,Y,True,True,True,True,182,52,51,52,23,0.60989010989011,0.39010989010989,0.989010989010989,0
id:576,576,AK,AirAsia,Malaysia,Y,True,True,True,True,180,58,58,58,15,0.4,0.6,1,0
id:4609,4609,FM,Shanghai Airlines,China,Y,True,True,True,True,179,72,72,72,7,0.854748603351955,0.145251396648045,0.994413407821229,0.0529100529100529
id:4559,4559,LX,Swiss International Air Lines,Switzerland,Y,True,True,True,True,178,74,74,74,39,0.0112359550561798,0.98876404494382,1,0.386206896551724
id:2822,2822,IB,Iberia Airlines,Spain,Y,True,True,True,True,177,77,77,77,34,0.186440677966102,0.813559322033898,0.96045197740113,0.787003610108303
id:4089,4089,QF,Qantas,Australia,Y,True,True,True,True,175,48,47,48,17,0.582857142857143,0.417142857142857,0.982857142857143,0.593023255813954
id:2350,2350,AY,Finnair,Finland,Y,True,True,True,True,174,75,79,79,32,0.0747126436781609,0.925287356321839,0.954022988505747,0.469512195121951
id:2222,2222,EY,Etihad Airways,United Arab Emirates,Y,True,True,True,True,174,84,84,84,55,0.0114942528735632,0.988505747126437,0.988505747126437,0.230088495575221
id:837,837,EI,Aer Lingus,Ireland,Y,True,True,True,True,172,67,67,67,22,0.0232558139534884,0.976744186046512,1,0.238938053097345
id:2923,2923,EP,Iran Aseman Airlines,Iran,Y,True,True,True,True,169,47,47,47,10,0.698224852071006,0.301775147928994,0.982248520710059,0
id:1316,1316,FL,AirTran Airways,United States,Y,True,True,True,True,169,49,49,50,6,0.727810650887574,0.272189349112426,0.923076923076923,0.767217630853995
id:3290,3290,JT,Lion Mentari Airlines,Indonesia,Y,True,True,True,True,168,38,39,39,5,0.94047619047619,0.0595238095238095,0.976190476190476,0.308641975308642
id:3052,3052,JQ,Jetstar Airways,Australia,Y,True,True,True,True,163,33,33,33,8,0.638036809815951,0.361963190184049,0.993865030674847,0
id:4375,4375,SG,Spicejet,India,Y,True,True,True,True,162,44,44,44,7,0.876543209876543,0.123456790123457,1,0
id:4940,4940,TG,Thai Airways International,Thailand,Y,True,True,True,True,162,77,77,77,40,0.135802469135802,0.864197530864198,1,0.151832460732984
id:321,321,AM,AeroMéxico,Mexico,Y,True,True,True,True,161,66,66,67,21,0.484472049689441,0.515527950310559,0.968944099378882,0.626450116009281
id:3000,3000,9W,Jet Airways,India,Y,True,True,True,True,157,49,48,49,18,0.401273885350318,0.598726114649682,0.980891719745223,0.431159420289855
id:4869,4869,TP,TAP Portugal,Portugal,Y,True,True,True,True,156,68,65,68,34,0.115384615384615,0.884615384615385,0.961538461538462,0.318777292576419
id:15999,15999,9C,China SSS,China,Y,True,True,True,True,155,51,50,51,10,0.8,0.2,0.941935483870968,0
id:1756,1756,CI,China Airlines,Taiwan,Y,True,True,True,True,154,67,67,68,26,0.00649350649350649,0.993506493506494,0.987012987012987,0.0941176470588235
id:5281,5281,HY,Uzbekistan Airways,Uzbekistan,Y,True,True,True,True,150,51,51,51,22,0.14,0.86,0.973333333333333,0.00662251655629139
id:1889,1889,CM,Copa Airlines,Panama,Y,True,True,True,True,149,64,64,64,28,0.100671140939597,0.899328859060403,0.993288590604027,0.190217391304348
