airline_key,airline_id,airline_code,airline_name,airline_country,active_status,has_non_codeshare_routes,has_all_listed_routes,route_presence_count,dashboard_comparison_eligible,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible
code:3H,,3H,,,,True,True,64,True,True,True,False,True
code:4E,,4E,,,,True,True,3,False,False,False,False,False
code:4W,,4W,,,,True,True,15,False,False,False,False,False
code:5U,,5U,,,,True,True,9,False,False,False,False,False
code:6L,,6L,,,,True,True,12,False,False,False,False,False
code:7S,,7S,,,,True,True,6,False,False,False,False,False
code:9D,,9D,,,,True,True,1,False,False,False,False,False
code:9M,,9M,,,,True,True,46,False,True,False,False,False
code:EB,,EB,,,,True,True,5,False,False,False,False,False
code:HS,,HS,,,,True,True,18,False,False,False,False,False
code:O4,,O4,,,,True,True,8,False,False,False,False,False
code:P1,,P1,,,,True,True,2,False,False,False,False,False
code:P2,,P2,,,,True,True,15,False,False,False,False,False
code:P6,,P6,,,,True,True,38,False,True,False,False,False
code:PB,,PB,,,,True,True,46,False,True,False,False,False
code:WT,,WT,,,,True,True,75,True,True,True,False,True
code:XU,,XU,,,,True,True,26,False,True,False,False,False
code:YJ,,YJ,,,,True,True,14,False,False,False,False,False
code:YN,,YN,,,,True,True,36,False,True,False,False,False
code:ZD,,ZD,,,,True,True,8,False,False,False,False,False
id:10,10,Q5,40-Mile Air,United States,Y,True,True,2,False,False,False,False,False
id:1006,1006,KC,Air Astana,Kazakhstan,Y,True,True,116,True,True,True,True,True
id:1008,1008,LV,Albanian Airlines,Albania,Y,True,True,4,False,False,False,False,False
id:10121,10121,IL,Illinois Airways,United States,N,True,True,22,False,True,False,False,False
id:10122,10122,SZ,Salzburg arrows,Austria,Y,True,True,48,False,True,False,False,False
id:10128,10128,DH,Dennis Sky,Israel,Y,True,True,13,False,False,False,False,False
id:1034,1034,XL,Aerolane,Ecuador,Y,True,True,12,False,False,False,False,False
id:1048,1048,TD,Atlantis European Airways,Armenia,Y,True,True,2,False,False,False,False,False
id:1057,1057,MK,Air Mauritius,Mauritius,Y,True,True,39,False,True,False,False,False
id:106,106,PE,Air Europe,Italy,Y,True,True,2,False,False,False,False,False
id:10646,10646,VB,Birmingham European,United Kingdom,N,True,True,102,True,True,True,True,True
id:10650,10650,5P,Pal airlines,Chile,Y,True,True,4,False,False,False,False,False
id:1066,1066,MD,Air Madagascar,Madagascar,Y,True,True,69,True,True,True,False,True
id:10675,10675,SH,Sharp Airlines,Australia,Y,True,True,10,False,False,False,False,False
id:1073,1073,9U,Air Moldova,Moldova,Y,True,True,38,False,True,False,False,False
id:10737,10737,J4,ALAK,Russia,Y,True,True,8,False,False,False,False,False
id:10739,10739,3E,Air Choice One,United States,Y,True,True,10,False,False,False,False,False
id:10741,10741,KN,China United,China,Y,True,True,98,True,True,True,False,True
id:10758,10758,4Q,Safi Airlines,Afghanistan,Y,True,True,14,False,False,False,False,False
id:10765,10765,K5,SeaPort Airlines,United States,Y,True,True,39,False,True,False,False,False
id:10776,10776,S6,Salmon Air,United States,Y,True,True,6,False,False,False,False,False
id:10800,10800,V9,Star1 Airlines,Lithuania,Y,True,True,10,False,False,False,False,False
id:109,109,KO,Alaska Central Express,United States,Y,True,True,2,False,False,False,False,False
id:10912,10912,J5,Alaska Seaplane Service,United States,Y,True,True,11,False,False,False,False,False
id:10955,10955,I6,MexicanaLink,Mexico,Y,True,True,20,False,True,False,False,False
id:1109,1109,8D,Astair,Russian Federation,Y,True,True,2,False,False,False,False,False
id:116,116,I9,Air Italy,Italy,Y,True,True,2,False,False,False,False,False
id:1173,1173,4Y,Airbus France,France,N,True,True,19,False,False,False,False,False
id:11741,11741,3S,Air Antilles Express,Guadeloupe,Y,True,True,24,False,True,False,False,False
id:11763,11763,P9,Peruvian Airlines,Peru,Y,True,True,16,False,False,False,False,False
id:11794,11794,OC,Catovair,Mauritius,Y,True,True,8,False,False,False,False,False
id:11806,11806,E9,Compagnie Africaine d\\'Aviation,Congo (Kinshasa),Y,True,True,4,False,False,False,False,False
id:11808,11808,K8,Zambia Skyways,Zambia,Y,True,True,8,False,False,False,False,False
id:11811,11811,UJ,AlMasria Universal Airlines,Egypt,Y,True,True,32,False,True,False,False,False
id:11814,11814,6Y,SmartLynx Airlines,Latvia,Y,True,True,2,False,False,False,False,False
id:11838,11838,Q9,Arik Niger,Niger,Y,True,True,20,False,True,False,False,False
id:11857,11857,RL,Royal Falcon,Jordan,Y,True,True,7,False,False,False,False,False
id:1191,1191,UU,Air Austral,France,Y,True,True,24,False,True,False,False,False
id:11948,11948,VQ,Viking Hellas,Greece,Y,True,True,8,False,False,False,False,False
id:11963,11963,DZ,Starline.kz,Kazakhstan,Y,True,True,4,False,False,False,False,False
id:1203,1203,A5,Airlinair,France,Y,True,True,148,True,True,True,True,True
id:1206,1206,QL,Aero Lanka,Sri Lanka,Y,True,True,14,False,False,False,False,False
id:1230,1230,BF,Aero-Service,Republic of the Congo,Y,True,True,4,False,False,False,False,False
id:125,125,FG,Ariana Afghan Airlines,Afghanistan,Y,True,True,22,False,True,False,False,False
id:1266,1266,Z3,Avient Aviation,Zimbabwe,Y,True,True,2,False,False,False,False,False
